"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"rafer alston",2000,2010,"G","6-2",171,"July 24, 1976","California State University, Fresno"
"peter aluma",1999,1999,"C","6-10",260,"April 23, 1973","Liberty University"
"john amaechi",1996,2003,"C-F","6-10",270,"November 26, 1970","Vanderbilt University, Pennsylvania State University"
"ashraf amaya",1996,1997,"F","6-8",230,"November 23, 1971","Southern Illinois University"
"al farouq aminu",2011,2018,"F","6-9",220,"September 21, 1990","Wake Forest University"
"lou amundson",2007,2016,"F","6-9",220,"December 7, 1982","University of Nevada, Las Vegas"
"bob anderegg",1960,1960,"F-G","6-3",200,"August 24, 1937","Michigan State University"
"chris andersen",2002,2017,"F-C","6-10",245,"July 7, 1978","Blinn College"
"david andersen",2010,2011,"C","6-11",245,"June 23, 1980",""
"alan anderson",2006,2017,"G-F","6-6",220,"October 16, 1982","Michigan State University"
"andrew anderson",1968,1970,"G","6-2",184,"July 6, 1945","Canisius College"
"antonio anderson",2010,2010,"G","6-6",215,"June 5, 1985","University of Memphis"
"cliff anderson",1968,1971,"G-F","6-2",200,"September 7, 1944","Saint Joseph's University"
"dan anderson",1968,1969,"C","6-10",230,"February 15, 1943","Augsburg College"
"dan anderson",1975,1976,"G","6-2",185,"January 1, 1951","University of Southern California"
"derek anderson",1998,2008,"G","6-5",194,"July 18, 1974","Ohio State University, University of Kentucky"
"dwight anderson",1983,1983,"G","6-3",185,"December 28, 1960","University of Kentucky, University of Southern California"
"eric anderson",1993,1994,"F","6-9",220,"May 26, 1970","Indiana University"
"greg anderson",1988,1998,"F-C","6-10",230,"June 22, 1964","University of Houston"
"jj anderson",1983,1985,"F","6-8",195,"September 23, 1960","Bradley University"
"james anderson",2011,2016,"G-F","6-6",213,"March 25, 1989","Oklahoma State University"
"jerome anderson",1976,1977,"G","6-5",195,"October 9, 1953","West Virginia University"
"justin anderson",2016,2018,"G","6-6",228,"November 19, 1993","University of Virginia"
"kenny anderson",1992,2005,"G","6-0",168,"October 9, 1970","Georgia Institute of Technology"
"kim anderson",1979,1979,"F","6-7",200,"May 12, 1955","University of Missouri"
"kyle anderson",2015,2018,"F-G","6-9",230,"September 20, 1993","University of California, Los Angeles"
"michael anderson",1989,1989,"G","5-11",184,"March 23, 1966","Drexel University"
"nick anderson",1990,2002,"F-G","6-6",205,"January 20, 1968","University of Illinois at Urbana-Champaign"
"richard anderson",1983,1990,"F-C","6-10",240,"November 19, 1960","University of California, Santa Barbara"
"ron anderson",1985,1994,"F-G","6-7",215,"October 15, 1958","California State University, Fresno"
"ryan anderson",2009,2018,"F","6-10",240,"May 6, 1988","University of California"
"shandon anderson",1997,2006,"F-G","6-6",208,"December 31, 1973","University of Georgia"
"willie anderson",1989,1997,"G-F","6-7",190,"January 8, 1967","University of Georgia"
"wally anderzunas",1970,1970,"C-F","6-7",220,"January 11, 1946","Creighton University"
"martynas andriuskevicius",2006,2006,"C","7-2",240,"March 12, 1986",""
"don anielak",1955,1955,"F","6-7",190,"November 1, 1930","Missouri State University"
"ike anigbogu",2018,2018,"F-C","6-10",252,"October 22, 1998","University of California, Los Angeles"
"michael ansley",1990,1992,"F","6-7",225,"February 8, 1967","University of Alabama"
"chris anstey",1998,2000,"C","7-0",249,"January 1, 1975",""
"giannis antetokounmpo",2014,2018,"F-G","6-11",222,"December 6, 1994",""
"thanasis antetokounmpo",2016,2016,"F","6-7",205,"July 17, 1992",""
"carmelo anthony",2004,2018,"F","6-8",240,"May 29, 1984","Syracuse University"
"greg anthony",1992,2002,"G","6-0",176,"November 15, 1967","University of Portland, University of Nevada, Las Vegas"
"joel anthony",2008,2017,"C","6-9",245,"August 9, 1982","University of Nevada, Las Vegas"
"pero antic",2014,2015,"C-F","6-11",260,"July 29, 1982",""
"og anunoby",2018,2018,"F","6-8",232,"July 17, 1997","Indiana University"
"keith appling",2016,2016,"G","6-1",185,"February 13, 1992","Michigan State University"
"rafael araujo",2005,2007,"C","6-11",280,"August 12, 1980","Brigham Young University"
"stacey arceneaux",1962,1962,"F","6-4",210,"February 17, 1936","Iowa State University"
"robert archibald",2003,2004,"F","6-11",250,"March 29, 1980","University of Illinois at Urbana-Champaign"
"tiny archibald",1971,1984,"G","6-1",150,"September 2, 1948","University of Texas at El Paso"
"ryan arcidiacono",2018,2018,"G","6-3",188,"March 26, 1994","Villanova University"
"jim ard",1971,1978,"F-C","6-8",215,"September 19, 1948","University of Cincinnati"
"gilbert arenas",2002,2012,"G","6-3",191,"January 6, 1982","University of Arizona"
"trevor ariza",2005,2018,"F","6-8",215,"June 30, 1985","University of California, Los Angeles"
"paul arizin",1951,1962,"F-G","6-4",190,"April 9, 1928","Villanova University"
"joe arlauckas",1988,1988,"F","6-9",230,"July 20, 1965","Niagara University"
"bj armstrong",1990,2000,"G","6-2",175,"September 9, 1967","University of Iowa"
"bob armstrong",1957,1957,"C-F","6-8",220,"June 17, 1933","Michigan State University"
"brandon armstrong",2002,2004,"G","6-5",188,"June 16, 1980","Pepperdine University"
"curly armstrong",1949,1951,"G-F","5-11",170,"November 1, 1918","Indiana University"
"darrell armstrong",1995,2008,"G","6-0",170,"June 22, 1968","Fayetteville State University"
"hilton armstrong",2007,2014,"F-C","6-11",235,"November 11, 1984","University of Connecticut"
"tate armstrong",1978,1979,"G","6-3",175,"October 5, 1955","Duke University"
"jesse arnelle",1956,1956,"F","6-5",220,"December 30, 1933","Pennsylvania State University"
"jay arnette",1964,1966,"G","6-2",175,"December 19, 1938","University of Texas at Austin"
"bob arnzen",1970,1974,"F","6-5",205,"November 3, 1947","University of Notre Dame"
"carlos arroyo",2002,2011,"G","6-2",202,"July 30, 1979","Florida International University"
"darrell arthur",2009,2018,"F","6-9",235,"March 25, 1988","University of Kansas"
"john arthurs",1970,1970,"G","6-4",185,"August 15, 1947","Tulane University"
"jamel artis",2018,2018,"G-F","6-7",213,"January 12, 1993","University of Pittsburgh"
"omer asik",2011,2018,"C","7-0",255,"July 4, 1986",""
"vincent askew",1988,1998,"G-F","6-6",210,"February 28, 1966","University of Memphis"
"keith askins",1991,1999,"G-F","6-7",197,"December 15, 1967","University of Alabama"
"don asmonga",1954,1954,"G","6-2",185,"February 15, 1928","Alliance College"
"dick atha",1956,1958,"G","6-2",190,"September 21, 1931","Indiana State University"
"chucky atkins",2000,2010,"G","5-11",160,"August 14, 1974","University of South Florida"
"al attles",1961,1971,"G","6-0",175,"November 7, 1936","North Carolina Agricultural and Technical State University"
"chet aubuchon",1947,1947,"G","5-10",137,"May 18, 1916","Michigan State University"
"stacey augmon",1992,2006,"F-G","6-8",205,"August 1, 1968","University of Nevada, Las Vegas"
"dj augustin",2009,2018,"G","6-0",183,"November 10, 1987","University of Texas at Austin"
"james augustine",2007,2008,"F","6-10",235,"February 27, 1984","University of Illinois at Urbana-Champaign"
"isaac austin",1992,2002,"C","6-10",255,"August 18, 1969","Arizona State University"
"johnny austin",1967,1968,"G","6-0",170,"August 31, 1944","Boston College"
"ken austin",1984,1984,"F","6-9",205,"July 15, 1961","Rice University"
"anthony avent",1993,2000,"F","6-9",235,"October 18, 1969","Seton Hall University"
"bird averitt",1974,1978,"G","6-1",170,"July 22, 1952","Pepperdine University"
"william avery",2000,2002,"G","6-2",197,"August 8, 1979","Duke University"
"dennis awtrey",1971,1982,"C","6-10",235,"February 22, 1948","Santa Clara University"
"gustavo ayon",2012,2014,"C","6-10",250,"April 1, 1985",""
"jeff ayres",2010,2016,"F","6-9",240,"April 29, 1987","Arizona State University"
"kelenna azubuike",2007,2012,"G","6-5",220,"December 16, 1983","University of Kentucky"
"chris babb",2014,2014,"G","6-5",225,"February 14, 1990","Pennsylvania State University, Iowa State University"
"luke babbitt",2011,2018,"F","6-9",225,"June 20, 1989","University of Nevada, Reno"
"milos babic",1991,1992,"C-F","7-0",240,"November 23, 1968","Tennessee Technological University"
"johnny bach",1949,1949,"F-G","6-2",180,"July 10, 1924","Fordham University"
"dwayne bacon",2018,2018,"G","6-6",222,"August 30, 1995","Florida State University"
"henry bacon",1973,1973,"G","6-3",205,"July 5, 1948","University of Louisville"
"jim baechtold",1953,1957,"F-G","6-4",205,"December 9, 1927","Eastern Kentucky University"
"dalibor bagaric",2001,2003,"C","7-1",255,"February 7, 1980",""
"john bagley",1983,1994,"G","6-0",185,"April 23, 1960","Boston College"
"carl bailey",1982,1982,"C","7-0",210,"April 23, 1958","Tuskegee University"
"gus bailey",1975,1980,"G-F","6-5",185,"February 18, 1951","University of Texas at El Paso"
"james bailey",1980,1988,"F-C","6-9",220,"May 21, 1957","Rutgers University"
"thurl bailey",1984,1999,"F-C","6-11",215,"April 7, 1961","North Carolina State University"
"toby bailey",1999,2000,"G","6-6",213,"November 19, 1975","University of California, Los Angeles"
"cameron bairstow",2015,2016,"F-C","6-9",250,"December 7, 1990","University of New Mexico"
"jimmie baker",1976,1976,"F","6-9",220,"December 25, 1953","University of Hawaii"
"lamark baker",1999,1999,"G","6-1",175,"November 11, 1969","Ohio State University"
"maurice baker",2005,2005,"G","6-1",175,"July 28, 1979","Oklahoma State University"
"norm baker",1947,1947,"G","6-0",180,"February 17, 1923",""
"ron baker",2017,2018,"G","6-4",220,"March 30, 1993","Wichita State University"
"vin baker",1994,2006,"F","6-11",232,"November 23, 1971","University of Hartford"
"wade baldwin",2017,2018,"G","6-4",202,"March 29, 1996","Vanderbilt University"
"renaldo balkman",2007,2012,"F","6-8",208,"July 14, 1984","University of South Carolina"
"cedric ball",1991,1991,"F","6-8",210,"April 16, 1968","University of North Carolina at Charlotte"
"lonzo ball",2018,2018,"G","6-6",190,"October 27, 1997","University of California, Los Angeles"
"greg ballard",1978,1989,"F","6-7",215,"January 29, 1955","University of Oregon"
"herschel baltimore",1947,1947,"F","6-4",195,"June 21, 1921","Pennsylvania State University"
"gene banks",1982,1987,"F-G","6-7",215,"May 15, 1959","Duke University"
"marcus banks",2004,2011,"G","6-2",200,"November 19, 1981","University of Nevada, Las Vegas"
"walker banks",1971,1971,"C","6-10",205,"August 26, 1947","Western Kentucky University"
"ken bannister",1985,1991,"F-C","6-9",235,"April 1, 1960","Indiana State University, Saint Augustine's College"
"mike bantom",1974,1982,"F-C","6-9",200,"December 3, 1951","Saint Joseph's University"
"john barber",1957,1957,"F","6-6",210,"June 27, 1927","California State University, Los Angeles"
"leandro barbosa",2004,2017,"G","6-3",194,"November 28, 1982",""
"steve bardo",1992,1996,"G","6-5",190,"April 5, 1968","University of Illinois at Urbana-Champaign"
"jj barea",2007,2018,"G","6-0",185,"June 26, 1984","Northeastern University"
"andrea bargnani",2007,2016,"F-C","7-0",245,"October 26, 1985",""
"cliff barker",1950,1952,"G","6-2",185,"January 15, 1921","University of Kentucky"
"tom barker",1977,1979,"C-F","6-11",225,"March 11, 1955","University of Hawaii"
"charles barkley",1985,2000,"F","6-6",252,"February 20, 1963","Auburn University"
"erick barkley",2001,2002,"G","6-1",177,"February 21, 1978","St. John's University"
"don barksdale",1952,1955,"F-C","6-6",200,"March 31, 1923","University of California, Los Angeles"
"harrison barnes",2013,2018,"F","6-8",210,"May 30, 1992","University of North Carolina"
"harry barnes",1969,1969,"F","6-3",205,"July 25, 1945","Northeastern University"
"jim barnes",1965,1971,"C-F","6-8",210,"April 13, 1941","University of Texas at El Paso"
"marvin barnes",1975,1980,"F-C","6-8",210,"July 27, 1952","Providence College"
"matt barnes",2004,2017,"F","6-7",226,"March 9, 1980","University of California, Los Angeles"
"dick barnett",1960,1974,"G-F","6-4",190,"October 2, 1936","Tennessee State University"
"jim barnett",1967,1977,"G-F","6-4",170,"July 7, 1944","University of Oregon"
"nathaniel barnett",1976,1976,"G","6-3",175,"January 29, 1953","University of Akron"
"john barnhill",1963,1972,"G","6-1",180,"March 20, 1938","Tennessee State University"
"norton barnhill",1977,1977,"G","6-4",205,"July 15, 1953","Washington State University"
"leo barnhorst",1950,1954,"F-G","6-4",190,"May 11, 1924","University of Notre Dame"
"john barr",1947,1947,"F","6-3",205,"August 8, 1918","Pennsylvania State University"
"mike barr",1973,1977,"G","6-3",180,"October 19, 1950","Duquesne University"
"moe barr",1971,1971,"G","6-4",195,"June 19, 1944","Duquesne University"
"andre barrett",2005,2008,"G","5-10",172,"February 21, 1982","Seton Hall University"
"ernie barrett",1954,1956,"G-F","6-3",180,"August 27, 1929","Kansas State University"
"mike barrett",1970,1973,"G","6-2",155,"September 5, 1943","West Virginia University Institute of Technology"
"earl barron",2006,2015,"C","7-0",250,"August 14, 1981","University of Memphis"
"dana barros",1990,2004,"G","5-11",163,"April 13, 1967","Boston College"
"brent barry",1996,2009,"G","6-6",185,"December 31, 1971","Oregon State University"
"drew barry",1998,2000,"G","6-5",191,"February 17, 1973","Georgia Institute of Technology"
"jon barry",1993,2006,"G","6-4",195,"July 25, 1969","University of the Pacific, Georgia Institute of Technology"
"rick barry",1966,1980,"F","6-7",205,"March 28, 1944","University of Miami"
"ed bartels",1950,1951,"F","6-5",195,"October 8, 1925","North Carolina State University"
"vic bartolome",1972,1972,"C","7-0",230,"September 29, 1948","Oregon State University"
"will barton",2013,2018,"G","6-6",175,"January 6, 1991","University of Memphis"
"eddie basden",2006,2006,"G","6-5",215,"February 15, 1983","University of North Carolina at Charlotte"
"jerry baskerville",1976,1976,"F","6-7",190,"November 10, 1951","Temple University"
"brandon bass",2006,2017,"F","6-8",250,"April 30, 1985","Louisiana State University"
"tim bassett",1974,1980,"F-C","6-8",225,"April 1, 1951","University of Georgia"
"maceo baston",2003,2009,"F","6-9",215,"May 29, 1975","University of Michigan"
"mengke bateer",2002,2004,"C","6-11",290,"November 20, 1975",""
"billy ray bates",1980,1983,"G","6-4",210,"May 31, 1956","Kentucky State University"
"esteban batista",2006,2007,"F-C","6-10",270,"September 2, 1983",""
"mike batiste",2003,2003,"F","6-8",225,"November 21, 1977","Arizona State University"
"tony battie",1998,2012,"C-F","6-11",230,"February 11, 1976","Texas Tech University"
"shane battier",2002,2014,"F","6-8",220,"September 9, 1978","Duke University"
"john battle",1986,1995,"G","6-2",175,"November 9, 1962","Rutgers University"
"kenny battle",1990,1993,"F","6-6",210,"October 10, 1964","Northern Illinois University, University of Illinois at Urbana-Champaign"
"dave batton",1983,1984,"C","6-10",240,"March 26, 1956","University of Notre Dame"
"lloyd batts",1975,1975,"G-F","6-4",185,"May 9, 1951","University of Cincinnati"
"nicolas batum",2009,2018,"F-G","6-8",200,"December 14, 1988",""
"johnny baum",1970,1974,"F","6-5",200,"June 17, 1946","Temple University"
"frankie baumholtz",1947,1947,"G","5-10",170,"October 7, 1918","Ohio University"
"lonny baxter",2003,2006,"F","6-8",260,"January 27, 1979","University of Maryland"
"jerryd bayless",2009,2018,"G","6-3",200,"August 20, 1988","University of Arizona"
"elgin baylor",1959,1972,"F","6-5",225,"September 16, 1934","Albertson College of Idaho, Seattle University"
"howard bayne",1968,1968,"F","6-6",235,"July 28, 1942","University of Tennessee"
"aron baynes",2013,2018,"C","6-10",260,"December 9, 1986","Washington State University"
"sergei bazarevich",1995,1995,"G","6-2",168,"March 16, 1965",""
"kent bazemore",2013,2018,"G-F","6-5",201,"July 1, 1989","Old Dominion University"
"ed beach",1951,1951,"F","6-3",200,"January 25, 1929","West Virginia University"
"bradley beal",2013,2018,"G","6-5",207,"June 28, 1993","University of Florida"
"al beard",1968,1968,"C","6-9",200,"April 27, 1942","Norfolk State University"
"butch beard",1970,1979,"G","6-3",185,"May 4, 1947","University of Louisville"
"ralph beard",1950,1951,"G","5-10",175,"December 2, 1927","University of Kentucky"
"charles beasley",1968,1971,"G-F","6-5",190,"September 23, 1945","Southern Methodist University"
"jerome beasley",2004,2004,"F","6-10",237,"May 17, 1980","Midland College, University of North Dakota"
"john beasley",1968,1974,"F-C","6-9",225,"February 5, 1944","Texas A&M University"
"malik beasley",2017,2018,"G","6-5",196,"November 26, 1996","Florida State University"
"michael beasley",2009,2018,"F","6-9",235,"January 9, 1989","Kansas State University"
"zelmo beaty",1963,1975,"C","6-9",225,"October 25, 1939","Prairie View A&M University"
"rodrigue beaubois",2010,2013,"G","6-0",170,"February 24, 1988",""
"byron beck",1968,1977,"C-F","6-9",225,"January 25, 1945","University of Denver"
"corey beck",1996,1999,"G","6-1",190,"May 27, 1971","South Plains College, University of Arkansas"
"ernie beck",1954,1961,"G-F","6-4",190,"December 11, 1931","University of Pennsylvania"
"arthur becker",1968,1973,"F","6-7",205,"January 12, 1942","Arizona State University"
"moe becker",1947,1947,"G-F","6-1",185,"February 24, 1917","Duquesne University"
"bob bedell",1968,1971,"F","6-7",205,"June 26, 1944","Stanford University"
"william bedford",1987,1993,"C","7-0",225,"December 14, 1963","University of Memphis"
"hank beenders",1947,1949,"C-F","6-6",185,"June 2, 1916","Long Island University"
"ron behagen",1974,1980,"F-C","6-9",185,"January 14, 1951","University of Minnesota"
"elmer behnke",1952,1952,"C","6-7",210,"February 3, 1929","Bradley University"
"marco belinelli",2008,2018,"G-F","6-5",210,"March 25, 1986",""
"charlie bell",2002,2011,"G","6-3",200,"March 12, 1979","Michigan State University"
"dennis bell",1974,1976,"F","6-5",185,"June 2, 1951","Drake University"
"jordan bell",2018,2018,"F","6-9",224,"January 7, 1995","University of Oregon"
"raja bell",2001,2012,"G","6-5",204,"September 19, 1976","Boston University, Florida International University"
"troy bell",2004,2004,"G","6-1",180,"November 10, 1980","Boston College"
"whitey bell",1960,1961,"G","6-0",180,"September 13, 1932","North Carolina State University"
"walt bellamy",1962,1975,"C","6-11",225,"July 24, 1939","Indiana University"
"deandre bembry",2017,2018,"F","6-6",210,"July 4, 1994","Saint Joseph's University"
"irv bemoras",1954,1957,"F-G","6-3",185,"November 18, 1930","University of Illinois at Urbana-Champaign"
"leon benbow",1975,1976,"G","6-4",185,"July 23, 1950","Jacksonville University"
"dragan bender",2017,2018,"F","7-1",225,"November 17, 1997",""
"jonathan bender",2000,2010,"F","6-11",202,"January 30, 1981",""
"jerrelle benimon",2015,2015,"F","6-8",245,"August 1, 1991","Georgetown University, Towson University"
"benoit benjamin",1986,2000,"C","7-0",250,"November 22, 1964","Creighton University"
"corey benjamin",1999,2003,"G","6-6",200,"February 24, 1978","Oregon State University"
"anthony bennett",2014,2017,"F","6-8",245,"March 14, 1993","University of Nevada, Las Vegas"
"elmer bennett",1995,1997,"G","6-0",170,"February 13, 1970","University of Notre Dame"
"mario bennett",1996,2000,"F","6-6",235,"August 1, 1973","Arizona State University"
"mel bennett",1976,1982,"F","6-7",200,"January 4, 1955","University of Pittsburgh"
"spider bennett",1969,1969,"G","6-3",190,"August 4, 1943","Winston-Salem State University"
"tony bennett",1993,1995,"G","6-0",175,"June 1, 1969","University of Wisconsin-Green Bay"
"winston bennett",1990,1992,"F","6-7",210,"February 9, 1965","University of Kentucky"
"david benoit",1992,2001,"F","6-8",220,"May 9, 1968","University of Alabama"
"keith benson",2012,2012,"C","6-11",240,"August 13, 1988","Oakland University"
"kent benson",1978,1988,"C","6-10",235,"December 27, 1954","Indiana University"
"ben bentil",2017,2017,"F","6-9",235,"March 29, 1995","Providence College"
"gene berce",1950,1950,"G-F","5-11",175,"November 22, 1926","Marquette University"
"gary bergen",1957,1957,"C","6-8",210,"July 16, 1932","University of Utah"
"larry bergh",1970,1970,"F","6-8",210,"April 2, 1945","Weber State University"
"ricky berry",1989,1989,"F","6-8",205,"October 6, 1964","Oregon State University, San Jose State University"
"walter berry",1987,1989,"F","6-8",215,"May 14, 1964","St. John's University"
"davis bertans",2017,2018,"F","6-10",210,"November 12, 1992",""
"del beshore",1979,1980,"G","5-11",165,"November 29, 1956","California University of Pennslyvania"
"travis best",1996,2005,"G","5-11",182,"July 12, 1972","Georgia Institute of Technology"
"patrick beverley",2013,2018,"G","6-1",185,"July 12, 1988","University of Arkansas"
"sim bhullar",2015,2015,"C","7-5",360,"December 2, 1992","New Mexico State University"
"wesley bialosuknia",1968,1968,"G","6-2",185,"June 8, 1945","University of Connecticut"
"al bianchi",1957,1966,"G","6-3",185,"March 26, 1932","Bowling Green State University"
"hank biasatti",1947,1947,"G","5-11",175,"January 14, 1922","Long Island University"
"henry bibby",1973,1981,"G","6-1",185,"November 24, 1949","University of California, Los Angeles"
"mike bibby",1999,2012,"G","6-1",190,"May 13, 1978","University of Arizona"
"ed biedenbach",1969,1969,"G","6-1",175,"August 12, 1945","North Carolina State University"
"andris biedrins",2005,2014,"C","6-11",240,"April 2, 1986",""
"don bielke",1956,1956,"C","6-7",240,"","Valparaiso University"
"bob bigelow",1976,1979,"F-G","6-7",215,"December 26, 1953","University of Pennsylvania"
"lionel billingy",1975,1975,"F-C","6-9",215,"August 31, 1952","Duquesne University"
"chauncey billups",1998,2014,"G","6-3",202,"September 25, 1976","University of Colorado"
"dave bing",1967,1978,"G","6-3",180,"November 24, 1943","Syracuse University"
"joe binion",1987,1987,"F","6-8",235,"March 26, 1961","North Carolina Agricultural and Technical State University"
"khem birch",2018,2018,"C-F","6-9",220,"September 28, 1992","University of Pittsburgh, University of Nevada, Las Vegas"
"jabari bird",2018,2018,"G","6-6",197,"July 3, 1994","University of California"
"jerry bird",1959,1959,"F","6-6",210,"February 2, 1935","University of Kentucky"
"larry bird",1980,1992,"F","6-9",220,"December 7, 1956","Indiana State University"
"otis birdsong",1978,1989,"G","6-3",190,"December 9, 1955","University of Houston"
"gale bishop",1949,1949,"F","6-3",195,"June 4, 1922","Washington State University"
"bismack biyombo",2012,2018,"C-F","6-9",255,"August 28, 1992",""
"nemanja bjelica",2016,2018,"F","6-10",240,"May 9, 1988",""
"uwe blab",1986,1990,"C","7-1",252,"March 26, 1962","Indiana University"
"charlie black",1949,1952,"F-C","6-5",200,"June 15, 1921","University of Kansas"
"norman black",1981,1981,"G","6-5",185,"November 12, 1957","Saint Joseph's University"
"tarik black",2015,2018,"C-F","6-9",250,"November 22, 1991","University of Memphis, University of Kansas"
"tom black",1971,1971,"C","6-10",220,"July 9, 1941","South Dakota State University"
"rolando blackman",1982,1994,"G","6-6",190,"February 26, 1959","Kansas State University"
"alex blackwell",1993,1993,"F","6-6",250,"June 27, 1970","Monmouth University"
"cory blackwell",1985,1985,"F","6-6",210,"March 27, 1963","University of Wisconsin"
"james blackwell",1995,1995,"G","6-0",190,"February 25, 1968","Dartmouth College"
"nate blackwell",1988,1988,"G","6-4",170,"February 15, 1965","Temple University"
